NAME,MEDIAN AGE,% under 18,% 65+,% 18+,% One race WHITE,% One race BLACK,% Two or more races,% One race Mexican,% One race Asian,% One race Native Hawaiian,% One race Some Other Race,Median rent in dollars,GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),Unemployment rate,% Owner-occupied homes ,% Living below poverty level over last 12 months,% Health insurance coverage,Mean family income,% Bachelor or higher,% Until High School ,% Arab ancestry,Year
Alabama,82668,22.4,16.5,77.6,0,4874747,0,1.7,0.5,0.1,0.0,750,506671,5.8,68.0,29.1,90.6,79810,25.5,21.4,0.2,2017
Alaska,6040,25.0,11.2,75.0,0,739795,0.1,8.6,14.9,3.6,1.2,1201,83787,7.6,63.5,21.0,86.3,104901,28.8,26.4,0.1,2017
Arizona,130938,23.3,17.1,76.7,0,7016270,0.1,4.3,4.5,0.7,0.2,1020,836609,5.8,64.7,24.6,89.9,89647,29.4,25.0,0.5,2017
Arkansas,53694,23.6,16.5,76.4,0,3004279,0,2.0,0.6,0.1,0.3,711,355860,5.6,65.3,30.7,92.1,76134,23.4,22.1,0.2,2017
California,720590,22.9,13.9,77.1,0,39536653,0.1,16.8,0.8,3.3,0.4,1447,5588574,5.9,54.8,25.5,92.8,113488,33.6,21.1,0.8,2017
Colorado,84164,22.5,13.8,77.5,0,5607154,0.1,4.3,1.0,0.3,0.1,1240,706299,4.2,65.2,21.0,92.5,109022,41.2,20.9,0.5,2017
Connecticut,92337,20.7,16.8,79.3,0,3588184,0,5.5,0.3,0.2,0.0,1125,430519,6.1,66.2,20.1,94.5,129913,38.7,16.5,0.7,2017
Delaware,18904,21.2,18.0,78.8,0,961939,0,4.7,0.3,0.5,0.0,1086,93164,5.3,70.9,26.7,94.6,101186,31.5,19.0,0.4,2017
District of Columbia,10991,18.0,12.1,82.0,0,693972,0,5.3,0.2,0.5,0.0,1499,152388,6.6,42.2,19.4,96.2,155436,57.3,12.5,0.7,2017
Florida,545512,20.0,20.1,80.0,0,20984400,0.0,3.5,0.3,0.5,0.1,1128,2492817,5.5,65.2,24.9,87.1,88588,29.7,19.9,0.5,2017
Georgia,135712,24.1,13.4,75.9,0,10429379,0.0,4.8,0.4,0.2,0.1,958,1285297,5.8,62.9,26.0,86.6,91908,30.9,20.2,0.3,2017
Hawaii,36527,21.4,17.8,78.6,0,1427538,6.1,55.9,0.2,15.6,10.2,1573,174878,4.2,58.5,23.4,96.2,111297,32.9,20.5,0.2,2017
Idaho,29719,25.8,15.3,74.2,0,1716943,0.1,2.5,1.3,0.2,0.2,822,172758,4.1,69.7,27.8,89.9,82950,26.8,26.3,0.2,2017
Illinois,248905,22.6,15.2,77.4,0,12802023,0.0,6.3,0.2,1.0,0.0,974,1512887,6.1,66.2,23.4,93.2,105077,34.4,20.6,0.8,2017
Indiana,129743,23.6,15.4,76.4,0,6666818,0.0,2.8,0.2,0.2,0.0,793,722265,4.7,69.0,26.5,91.8,85034,26.8,20.2,0.3,2017
Iowa,76169,23.2,16.7,76.8,0,3145711,0.0,3.1,0.3,0.2,0.2,760,328803,3.6,71.6,23.6,95.3,91680,28.9,21.0,0.2,2017
Kansas,63954,24.5,15.4,75.5,0,2913123,0,3.6,0.7,0.2,0.1,815,358706,4.2,65.9,25.2,91.3,91517,33.7,22.7,0.3,2017
Kentucky,75524,22.8,15.9,77.2,0,4454189,0.0,1.9,0.2,0.2,0.1,724,510116,5.5,66.5,31.0,94.6,80079,24.0,21.3,0.3,2017
Louisiana,75501,23.7,14.9,76.3,0,4684333,0,2.2,0.5,0.2,0.0,836,518902,6.5,65.2,31.8,91.6,79996,23.8,21.4,0.3,2017
Maine,34746,19.0,20.0,81.0,0,1335907,0,1.7,0.7,0.1,0.0,806,131372,4.2,73.2,25.0,91.9,89287,32.1,19.0,0.3,2017
Maryland,109078,22.3,14.9,77.7,0,6052177,0.0,7.6,0.3,0.9,0.0,1337,698269,5.2,66.7,20.1,93.9,123678,39.7,18.9,0.5,2017
Massachusetts,157941,20.0,16.1,80.0,0,6859819,0,7.5,0.2,0.2,0.0,1208,929089,4.6,62.3,21.2,97.2,127223,43.4,15.5,1.0,2017
Michigan,207983,21.8,16.7,78.2,0,9962311,0.0,3.8,0.5,0.3,0.0,835,1044041,5.9,71.3,26.2,94.8,90138,29.1,23.4,2.1,2017
Minnesota,116722,23.3,15.4,76.7,0,5576606,0.0,5.7,1.1,0.2,0.0,939,583821,3.6,71.6,20.7,95.6,109540,36.1,20.9,0.4,2017
Mississippi,48885,23.9,15.6,76.1,0,2984100,0,1.2,0.5,0.1,0.0,742,288505,7.0,68.5,34.1,88.0,71819,21.9,22.0,0.3,2017
Missouri,123098,22.7,16.5,77.3,0,6113532,0.1,2.6,0.4,0.2,0.1,800,724549,4.6,67.0,25.2,90.9,87144,29.1,22.0,0.4,2017
Montana,20827,21.9,18.1,78.1,0,1050493,0,1.4,6.2,0.3,0.1,759,118284,3.5,69.2,24.8,91.5,86122,32.3,23.5,0.0,2017
Nebraska,40845,24.7,15.4,75.3,0,1920076,0.0,3.1,0.8,0.2,0.1,801,234345,3.3,66.3,21.8,91.7,92849,31.7,23.1,0.4,2017
